year,color,variety,bearing_acres,non_bearing_acres,total_acres,tons,price_per_ton_usd,value_usd
2008,red,Carignane,181.1,0.0,181.1,327.7,1944.90,637400
2008,red,Malbec,272.0,76.0,348.0,787.6,2550.60,2008900
2008,red,Merlot,5875.6,133.4,6009.0,13298.5,1555.48,20685600
2008,red,Meunier,105.9,4.5,110.4,325.2,2769.47,900700
2008,red,Petite Sirah,466.4,98.1,564.5,1905.9,2535.97,4833400
2008,red,Petite Verdot,174.4,45.1,219.5,650.3,2707.89,1761000
2008,red,Pinot Noir,10293.2,2242.5,12535.7,29441.5,3170.71,93350500
2008,red,Sangiovese,277.6,14.9,292.5,716.8,2226.54,1596000
2008,red,Syrah-Shiraz,1770.6,216.4,1987.0,4789.9,2331.26,11166600
2008,red,Zinfandel,5384.5,237.1,5621.6,12190.6,2485.66,30301700
2008,red,Other Reds,512.7,80.7,593.4,1528.8,1619.83,2476400
2008,white,Chardonnay,14255.9,2140.0,16395.9,53533.1,2016.52,107950600
2008,white,French Colombard,65.3,0.0,65.3,284.8,524.46,149400
2008,white,Gewürztraminer,122.0,21.1,143.1,367.1,1617.10,593700
2008,white,Muscat Blanc,19.3,0.3,19.6,43.6,1967.16,85800
2008,white,Pinot Blanc,62.3,0.0,62.3,254.4,1740.50,442800
2008,white,Pinot Gris,419.4,90.5,509.9,1529.6,1945.49,2975900
2008,white,Sauvignon Blanc,2302.5,334.8,2637.3,11872.8,1510.90,17938700
2008,white,Semillon,150.1,6.2,156.3,370.5,1970.72,730200
2008,white,Viognier,253.2,40.2,293.4,449.1,2360.65,1060200
2008,white,White Riesling,26.9,0.0,26.9,185.0,2164.07,400400
2008,white,Other Whites,225.8,30.1,255.9,673.6,1971.05,1327700
2009,red,Cabernet Franc,657.9,48.8,706.7,1935.6,2358.82,4565800
2009,red,Cabernet Sauvignon,11658.5,730.5,12389.0,41140.6,2280.67,93828200
2009,red,Carignane,182.0,2.8,184.8,464.2,1919.43,891000
2009,red,Malbec,281.8,82.1,363.9,877.9,2491.49,2187300
2009,red,Merlot,5736.9,109.1,5846.0,16506.5,1507.00,24875300
2009,red,Meunier,109.0,15.0,124.0,398.5,3056.21,1217900
2009,red,Petite Sirah,503.9,85.9,589.8,2300.6,2480.13,5705800
2009,red,Petite Verdot,189.0,34.8,223.8,918.9,2778.24,2553000
2009,red,Pinot Noir,10746.2,1988.5,12734.7,31961.2,3043.08,97260500
2009,red,Sangiovese,298.6,11.1,309.7,1210.6,2231.17,2701100
2009,red,Syrah-Shiraz,1816.6,168.5,1985.1,5563.3,2314.65,12877100
2009,red,Zinfandel,5229.7,171.5,5401.2,15637.4,2462.39,38505400
2009,red,Other Reds,527.2,187.6,714.8,1839.7,,6180000
2009,white,Chardonnay,14659.8,2414.9,17074.7,73100.6,1978.18,144606200
2009,white,French Colombard,44.6,0.0,44.6,246.0,524.44,129100
2009,white,Gewürztraminer,122.0,26.2,148.2,385.6,1655.21,638300
2009,white,Muscat Blanc,19.4,0.0,19.4,66.7,2025.48,135100
2009,white,Pinot Blanc,68.6,0.0,68.6,258.3,1741.17,449800
2009,white,Pinot Gris,453.6,80.5,534.1,1921.8,1761.45,3385200
2009,white,Sauvignon Blanc,2248.6,333.9,2582.5,13841.2,1470.89,20358900
2009,white,Semillon,143.6,6.4,150.0,430.6,2357.61,1015200
2009,white,Viognier,261.9,31.2,293.1,720.1,2324.89,1674200
2009,white,White Riesling,30.0,0.0,30.0,238.6,2288.54,546100
2009,white,Other Whites,316.8,71.8,388.6,748.1,,2062800
2010,red,Cabernet Franc,653.9,14.3,668.2,1436.3,2166.55,3111900
2010,red,Cabernet Sauvignon,11549.0,468.3,12017.3,37933.3,2083.96,79051500
2010,red,Carignane,180.3,1.0,181.3,270.4,1949.11,527100
2010,red,Malbec,310.4,69.1,379.5,770.5,2430.83,1873000
